generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
9500,346.78336,283.9033,789.59033,715.59033,14.119869,14.119869
9510,272.3003,270.75027,703.25946,393.25946,189.55333,189.55333
9520,360.03415,322.32394,891.9384,837.9384,55.961166,55.961166
9530,513.5401,348.32007,1128.0438,834.0438,170.94394,170.94394
9540,406.79547,249.5561,1080.9562,844.9562,216.77063,98.77064
9550,233.20493,232.46492,561.2997,433.2997,216.04568,216.04568
9560,259.26926,251.13925,1026.3489,820.3488,75.172165,75.172165
9570,176.65158,120.621544,1201.0,907.0,77.01123,67.49783
9580,402.8871,351.62698,450.86026,376.86026,158.60304,138.60304
9590,308.3767,282.22665,668.239,312.0101,136.5292,56.230453
9600,304.0908,269.97092,510.29282,394.7919,145.87808,0.0
9610,675.60706,576.30707,968.0469,712.0469,75.31858,75.244804
9620,257.43423,220.61403,774.7522,666.7522,125.57297,125.57297
9630,338.75735,307.30743,1062.8665,826.8665,120.888535,41.461906
9640,370.61923,288.43893,414.16116,306.16116,110.74056,90.74056
9650,323.41507,293.11502,850.73035,664.73035,152.38231,152.38231
9660,246.63992,241.48993,1011.5755,809.5755,47.330097,47.330097
9670,303.07965,217.7496,1101.5684,787.56836,90.74056,65.5156
9680,212.4331,194.30304,371.69095,316.0165,28.017593,0.4911375
9690,242.33176,240.42175,573.0559,425.05588,80.362305,80.362305
9700,423.44556,270.2559,837.2407,709.2407,170.41595,82.708855
9710,310.8284,194.88818,997.93365,849.93365,115.05587,21.05587
9720,123.47197,123.47197,406.00583,406.00583,57.5091,57.5091
9730,327.90704,288.02695,518.817,420.81702,292.87546,281.88922
9740,358.52957,296.56943,1500.2,1132.2,30.753166,10.753165
9750,323.09448,255.52455,491.753,314.9099,162.34882,48.348824
9760,323.65753,176.45737,1048.3894,714.38934,122.59021,12.597313
9770,312.81638,290.24637,608.68427,306.5811,82.16619,82.16619
9780,323.1334,313.8134,1118.0266,892.0267,130.21219,113.60739
9790,270.66882,239.33882,363.7882,309.7882,151.28212,119.91873
9800,437.54337,245.85289,666.412,372.412,10.751003,6.6865206
9810,261.8246,234.76445,825.9172,644.0,158.7252,158.7252
9820,281.55692,280.3569,321.1864,287.20468,264.81897,189.18642
9830,293.10617,290.81616,374.72906,312.57025,0.0,0.0
9840,84.87147,81.921455,976.0386,716.0386,40.841377,40.841377
9850,304.68552,255.13554,872.234,676.009,88.80847,88.80847
9860,453.88602,292.70615,1314.5299,838.5299,187.8197,23.671722
9870,225.09242,151.53276,986.77106,838.77106,192.7591,98.7591
9880,257.08682,254.82684,367.66965,313.66965,12.09878,12.09878
9890,601.9668,584.7268,815.5091,703.04736,188.46936,74.46935
9900,444.03604,385.16565,897.44617,823.44617,254.468,243.92831
9910,346.66513,141.45493,515.54565,427.08282,139.30319,125.53139
9920,255.65044,111.03998,476.85495,382.85495,104.68652,6.6865206
9930,279.52368,236.78387,495.27423,313.27423,110.37458,36.37458
9940,302.60992,287.16995,409.16208,389.16208,242.18692,182.39613
9950,606.4026,596.1826,1206.6511,858.6512,246.36467,246.36467
9960,241.434,241.434,273.94308,273.94308,240.4689,240.4689
9970,328.8853,285.84537,801.1826,425.1482,21.399645,21.399645
9980,94.916466,92.89646,360.31277,306.31277,50.198944,50.198944
9990,227.31529,225.36528,366.19293,292.19293,115.42296,110.38935
